place,osm_type,Latitude,Longitude,
hamlet,nodes,20.3559564,-75.2843958,12/16/2016
hamlet,nodes,20.3524006,-75.2978471,12/16/2016
hamlet,nodes,20.3599648,-75.2951541,12/16/2016
hamlet,nodes,20.3193876,-75.3288785,12/16/2016
hamlet,nodes,20.3275849,-75.3185932,12/16/2016
hamlet,nodes,20.323619,-75.2928112,12/16/2016
hamlet,nodes,20.2518266,-75.3118781,12/16/2016
hamlet,nodes,20.2927062,-75.354333,12/16/2016
hamlet,nodes,20.2789277,-75.4402851,12/16/2016
hamlet,nodes,20.2990639,-75.4508524,12/16/2016
hamlet,nodes,20.312916,-75.4031825,12/16/2016
hamlet,nodes,20.1827841,-75.4600627,12/16/2016
hamlet,nodes,20.2056164,-75.3313457,12/16/2016
hamlet,nodes,20.2343546,-75.3140534,12/16/2016
hamlet,nodes,20.2275068,-75.3154205,12/16/2016
hamlet,nodes,20.2327486,-75.3026669,12/16/2016
hamlet,nodes,20.2398427,-75.2700406,12/16/2016
hamlet,nodes,20.2175859,-75.2611298,12/16/2016
hamlet,nodes,20.1968722,-75.2702952,12/16/2016
hamlet,nodes,20.1525251,-75.2605177,12/16/2016
hamlet,nodes,20.1896471,-75.4079456,12/16/2016
hamlet,nodes,20.1808397,-75.4389179,12/16/2016
hamlet,nodes,20.3183097,-75.3633613,12/16/2016
hamlet,nodes,20.3438675,-75.3112525,12/16/2016
hamlet,nodes,20.3360459,-75.33234,12/16/2016
hamlet,nodes,20.1977365,-75.3548638,12/16/2016
hamlet,nodes,20.0165688,-75.7198215,12/16/2016
hamlet,nodes,20.0127391,-75.6994348,12/16/2016
hamlet,nodes,20.0145772,-75.7089997,12/16/2016
hamlet,nodes,20.010272,-75.5082187,12/16/2016
hamlet,nodes,20.0232746,-75.5237574,12/16/2016
hamlet,nodes,20.8774569,-76.7278403,12/16/2016
hamlet,nodes,20.8882785,-76.7107806,12/16/2016
hamlet,nodes,20.8867119,-76.6927602,12/16/2016
hamlet,nodes,20.8831147,-76.8282252,12/16/2016
hamlet,nodes,20.8882784,-76.8053385,12/16/2016
hamlet,nodes,20.1098203,-76.0049415,12/16/2016
hamlet,nodes,20.1354086,-75.9588853,12/16/2016
hamlet,nodes,20.1403439,-75.7877684,12/16/2016
hamlet,nodes,20.1180462,-75.795272,12/16/2016
hamlet,nodes,20.1070029,-75.793937,12/16/2016
hamlet,nodes,20.0636066,-75.7534249,12/16/2016
hamlet,nodes,20.0681843,-75.7614626,12/16/2016
hamlet,nodes,20.0656374,-75.7771681,12/16/2016
hamlet,nodes,20.0709336,-75.7675881,12/16/2016
hamlet,nodes,20.0884653,-75.7887211,12/16/2016
hamlet,nodes,20.091839,-75.8220631,12/16/2016
hamlet,nodes,20.0969834,-75.8406678,12/16/2016
hamlet,nodes,20.1009268,-75.8185698,12/16/2016
hamlet,nodes,20.122461,-75.8368056,12/16/2016
hamlet,nodes,20.1368498,-75.8463516,12/16/2016
hamlet,nodes,20.1458943,-75.8192967,12/16/2016
hamlet,nodes,20.2540242,-75.6620586,12/16/2016
hamlet,nodes,20.23208,-75.6790209,12/16/2016
hamlet,nodes,20.2249324,-75.6415665,12/16/2016
hamlet,nodes,20.2191536,-75.6367707,12/16/2016
hamlet,nodes,20.2050582,-75.6504071,12/16/2016
hamlet,nodes,20.241915,-75.6398928,12/16/2016
hamlet,nodes,20.2473205,-75.681746,12/16/2016
hamlet,nodes,20.2341236,-75.6397587,12/16/2016
hamlet,nodes,20.2318434,-75.6668222,12/16/2016
hamlet,nodes,20.0219769,-75.7561005,12/16/2016
hamlet,nodes,20.0761948,-75.5552153,12/16/2016
hamlet,nodes,20.0700953,-75.5239592,12/16/2016
hamlet,nodes,20.0829817,-75.5975851,12/16/2016
hamlet,nodes,20.0694583,-75.7136805,12/16/2016
hamlet,nodes,20.1508394,-75.789249,12/16/2016
hamlet,nodes,22.7869142,-82.456609,12/16/2016
hamlet,nodes,22.7661702,-82.4536479,12/16/2016
hamlet,nodes,22.9779343,-82.4767374,12/16/2016
hamlet,nodes,22.9724432,-82.5377624,12/16/2016
hamlet,nodes,22.9902987,-82.5325692,12/16/2016
hamlet,nodes,22.975262,-82.4810388,12/16/2016
hamlet,nodes,22.9595311,-82.4798048,12/16/2016
hamlet,nodes,22.9225798,-82.4663347,12/16/2016
hamlet,nodes,22.9331362,-82.4571122,12/16/2016
hamlet,nodes,22.926841,-82.4844131,12/16/2016
hamlet,nodes,22.9161126,-82.4933391,12/16/2016
hamlet,nodes,22.9077061,-82.4813554,12/16/2016
hamlet,nodes,22.9062603,-82.4775992,12/16/2016
hamlet,nodes,22.9117285,-82.4690878,12/16/2016
hamlet,nodes,22.9113713,-82.4582942,12/16/2016
hamlet,nodes,20.8072487,-76.2068462,12/16/2016
hamlet,nodes,20.794694,-76.2092829,12/16/2016
hamlet,nodes,20.8375175,-76.2003782,12/16/2016
hamlet,nodes,20.8289594,-76.2016283,12/16/2016
hamlet,nodes,20.8181646,-76.1978263,12/16/2016
hamlet,nodes,20.8225044,-76.2108386,12/16/2016
hamlet,nodes,20.8177238,-76.2318931,12/16/2016
hamlet,nodes,20.8277249,-76.2462004,12/16/2016
hamlet,nodes,20.8432963,-76.2476116,12/16/2016
hamlet,nodes,20.8441536,-76.2052059,12/16/2016
hamlet,nodes,20.8584158,-76.2062788,12/16/2016
hamlet,nodes,20.3462158,-75.6645221,12/16/2016
hamlet,nodes,20.36791,-75.6639341,12/16/2016
hamlet,nodes,20.3205928,-75.6355906,12/16/2016
hamlet,nodes,20.2816482,-75.6213984,12/16/2016
hamlet,nodes,20.3738,-75.6274555,12/16/2016
hamlet,nodes,20.5100163,-75.2746893,12/16/2016
hamlet,nodes,20.5095873,-75.2801317,12/16/2016
hamlet,nodes,20.5386284,-75.2668148,12/16/2016
hamlet,nodes,20.5492724,-75.2543342,12/16/2016
hamlet,nodes,20.5689625,-75.2946925,12/16/2016
hamlet,nodes,20.6064983,-75.2564655,12/16/2016
hamlet,nodes,20.6212028,-75.260364,12/16/2016
hamlet,nodes,20.6052937,-75.329363,12/16/2016
hamlet,nodes,20.5904936,-75.4371687,12/16/2016
hamlet,nodes,20.6424817,-75.439532,12/16/2016
hamlet,nodes,20.6345184,-75.3914374,12/16/2016
hamlet,nodes,20.6508474,-75.3973651,12/16/2016
hamlet,nodes,20.6693405,-75.4333423,12/16/2016
hamlet,nodes,20.6817381,-75.4218031,12/16/2016
hamlet,nodes,20.6654751,-75.4663911,12/16/2016
hamlet,nodes,20.6955306,-75.2773687,12/16/2016
hamlet,nodes,20.6567595,-75.3357411,12/16/2016
hamlet,nodes,20.6413848,-75.2930598,12/16/2016
hamlet,nodes,20.6511692,-75.2702893,12/16/2016
hamlet,nodes,20.6483864,-75.2601294,12/16/2016
hamlet,nodes,20.5698814,-75.2465913,12/16/2016
hamlet,nodes,20.5138833,-75.2459797,12/16/2016
hamlet,nodes,20.6436326,-74.9822046,12/16/2016
hamlet,nodes,20.6417449,-75.0037252,12/16/2016
hamlet,nodes,20.7404925,-75.9920776,12/16/2016
hamlet,nodes,20.7134697,-75.9992659,12/16/2016
hamlet,nodes,20.8361687,-76.2639184,12/16/2016
hamlet,nodes,20.5399274,-76.0023655,12/16/2016
hamlet,nodes,20.5610763,-76.0442982,12/16/2016
hamlet,nodes,20.5581019,-76.073498,12/16/2016
hamlet,nodes,20.5386653,-76.0881277,12/16/2016
hamlet,nodes,20.6082903,-75.980191,12/16/2016
hamlet,nodes,20.58842,-75.9970515,12/16/2016
hamlet,nodes,20.5637519,-75.0989103,12/16/2016
hamlet,nodes,20.4655681,-75.2441319,12/16/2016
hamlet,nodes,20.4533416,-75.2367654,12/16/2016
hamlet,nodes,20.4190603,-75.1772373,12/16/2016
hamlet,nodes,20.4015527,-75.0468689,12/16/2016
hamlet,nodes,20.3774024,-75.0132317,12/16/2016
